site,census,age2009,age,TP.BA,TP.AGB,TP.stems,TP.ind,H0Q1TP,H1.Q1.TP,H2.Q1.TP
45,7,1,6,8.813647869,22.32330545,19160,13155,69,12.43714254,4.969003867
45,8,1,7,9.364781395,24.7793692,18350,12595,68,12.2624048,4.74229837
47,2,5,5,6.759187645,18.95395802,18380,7380,48,14.3726265,9.095741147
47,3,5,6,6.963383314,20.80371384,15805,6200,47,15.10115031,9.534013441
47,4,5,7,7.918293963,25.76336447,12255,5105,51,17.92510555,11.13138004
47,5,5,8,8.15918736,28.16321449,9570,4290,47,18.98959451,12.4765343
47,7,5,10,8.57864103,32.77464686,6340,3640,51,23.25187778,16.28694829
47,8,5,11,8.674816963,34.19898375,5940,3765,55,23.38235596,15.91763205
52,2,16,16,17.66732748,59.37967189,9875,6965,89,39.7047891,24.50490098
52,3,16,17,18.16836046,62.96687032,9490,6600,90,41.5603891,25.81207538
52,4,16,18,18.59262469,65.93703326,8825,6090,89,43.36878221,27.32750165
52,5,16,19,19.33428403,72.10306191,8455,5740,90,45.47568239,29.11712902
52,7,16,21,19.0575215,74.20258219,8190,5710,90,45.02899673,28.29028815
52,8,16,22,18.71791926,74.89519462,7960,5495,90,45.50780716,27.79224219
66,2,6,6,8.779954288,22.46537386,16765,11940,76,17.40371889,7.704724007
66,3,6,7,9.841930414,25.76305789,15695,11420,72,16.65447608,7.11237632
66,4,6,8,11.42479831,31.34244233,15685,10700,71,16.73602548,6.808086342
66,5,6,9,12.57854821,36.31516843,14775,9860,70,16.06671138,6.253211115
66,7,6,11,14.04023703,43.70201045,12895,8695,73,15.09252066,5.223780932
66,8,6,12,14.36316134,46.2182947,12250,8160,73,14.85317002,4.90378837
67,2,6,6,4.12013986,11.96873021,9225,5305,56,24.62880443,15.03096169
67,3,6,7,4.854832718,14.62893523,9630,5420,57,24.621436,15.23672367
67,4,6,8,5.819549063,18.26242382,9880,5595,56,23.77658803,15.10218167
67,5,6,9,6.553271955,21.23907393,9715,5725,54,23.2098744,14.96588971
67,7,6,11,7.923768188,27.11839835,9515,5880,50,22.74037056,15.06186874
67,8,6,12,8.499233349,29.80989628,8960,5825,55,23.58716728,15.33893557
