"T","B","b","xmid","s","xshift","T2","B2","b2","xmid2","s2","xshift2"
0,1.21666666666667,-1,2,1,0,0.139869411875182,0.139869411875182,0,0,0,0
0,1.25,-1,2,1,0,0.347242669611091,0.347242669611091,0,0,0,0
0,2.35610290093049,-1,2,1,0,0.289279566738083,0.289279566738083,0,0,0,0
0,1.17391304347826,-1,2,1,0,0.0507692307692308,0.0507692307692308,0,0,0,0
0,1.70868347338936,-1,2,1,0,0.509514760463036,0.509514760463036,0,0,0,0
0,1.02222222222222,-1,1,1,0,0.353337596849009,0.353337596849009,0,0,0,0
0,1.38333333333333,-1,2,1,0,0.325,0.325,0,0,0,0
0,1,-1,1,1,0,0.147619047619048,0.147619047619048,0,0,0,0
0,1.53166666666667,-1,1,1,0,0.323225437796376,0.323225437796376,0,0,0,0
0,2.03809523809524,-1,3,1,0,0.0112745098039216,0.0112745098039216,0,0,0,0
0,1.66,-1,1,1,0,0.05,0.05,0,0,0,0
0,1.26587301587302,-1,4,1,0,0.10005093187186,0.10005093187186,0,0,0,0
0,1.08823529411765,-1,5,1,0,0.161821050259184,0.161821050259184,0,0,0,0
0,1.125,-1,3,1,0,0.846153846153846,0.846153846153846,0,0,0,0
0,1.71590909090909,-1,7,1,0,0.156254774637128,0.156254774637128,0,0,0,0
0,1.44117647058824,-1,5,1,0,0.00714285714285715,0.00714285714285715,0,0,0,0
0,1.15384615384615,-1,4,1,0,0.0952380952380952,0.0952380952380952,0,0,0,0
0,1,-1,2,1,0,0.0952380952380952,0.0952380952380952,0,0,0,0
0,1.22222222222222,-1,3,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,1.94791666666667,-1,5,1,0,0.00396825396825397,0.00396825396825397,0,0,0,0
0,1.42013888888889,-1,3,1,0,0.301630434782609,0.301630434782609,0,0,0,0
0,1.35714285714286,-1,3,1,0,0.323225437796376,0.323225437796376,0,0,0,0
0,1.74333333333333,-1,4,1,0,0.0231801937684291,0.0231801937684291,0,0,0,0
0,1,-1,6,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,1.45,-1,4,1,0,0.255263157894737,0.255263157894737,0,0,0,0
0,1.45833333333333,-1,1,1,0,0.00198412698412699,0.00198412698412699,0,0,0,0
0,1.27272727272727,-1,5,1,0,0.0745762711864407,0.0745762711864407,0,0,0,0
0,1.86538461538462,-1,4,1,0,0.0592632956855611,0.0592632956855611,0,0,0,0
0,1.26666666666667,-1,8,1,0,0.159313725490196,0.159313725490196,0,0,0,0
0,1,-1,3,1,0,0.209925589669066,0.209925589669066,0,0,0,0
