"T","B","b","xmid","s","xshift","T2","B2","b2","xmid2","s2","xshift2"
0,0.161923076923077,-1,2,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.457777777777778,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.424215367965368,-1,5,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.237877747252747,-1,3,1,0,0.346153846153846,0.346153846153846,0,0,0,0
0,0.253703703703704,-1,2,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.374929268262602,-1,5,1,0,0.064151150656341,0.064151150656341,0,0,0,0
0,0.185470085470085,-1,6,1,0,0.382867132867133,0.382867132867133,0,0,0,0
0,1.76286754181491,-1,9,1,0,0.0136469221835075,0.0136469221835075,0,0,0,0
0,0.11965811965812,-1,10,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.241666666666667,-1,9,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.208333333333333,-1,19,1,0,0.0833333333333333,0.0833333333333333,0,0,0,0
0,0.293706293706294,-1,6,1,0,0.1,0.1,0,0,0,0
0,0.267523486614396,-1,2,1,0,0.0476190476190476,0.0476190476190476,0,0,0,0
0,0.186538461538462,-1,6,1,0,0.233333333333333,0.233333333333333,0,0,0,0
0,0.902857142857143,-1,26,1,0,0.1875,0.1875,0,0,0,0
0,0.600777000777001,-1,2,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.544987287844431,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.451282051282051,-1,11,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,2.16173774784886,-1,13,1,0,0.00386100386100385,0.00386100386100385,0,0,0,0
0,0.467858067858068,-1,7,1,0,0.0476190476190476,0.0476190476190476,0,0,0,0
0,0.551748809978981,-1,30,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.19047619047619,-1,5,1,0,0.393939393939394,0.393939393939394,0,0,0,0
0,0.153846153846154,-1,2,1,0,0.472222222222222,0.472222222222222,0,0,0,0
0,0.295128152271009,-1,4,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.32979797979798,-1,12,1,0,0.0317460317460317,0.0317460317460317,0,0,0,0
0,0.42787296037296,-1,10,1,0,0.0763888888888889,0.0763888888888889,0,0,0,0
