"id","recr","mort","occ","w"
132,132,132,49,0.00306844511240529
133,133,133,49,0.00306844511240529
134,134,134,48,0.00300582378358069
135,135,135,48,0.00300582378358069
136,136,136,47,0.00294320245475609
137,137,137,47,0.00294320245475609
138,138,138,47,0.00294320245475609
139,139,139,47,0.00294320245475609
140,140,140,46,0.00288058112593149
141,141,141,46,0.00288058112593149
142,142,142,46,0.00288058112593149
143,143,143,46,0.00288058112593149
144,144,144,45,0.00281795979710689
145,145,145,44,0.0027553384682823
146,146,146,44,0.0027553384682823
147,147,147,44,0.0027553384682823
148,148,148,44,0.0027553384682823
149,149,149,44,0.0027553384682823
150,150,150,44,0.0027553384682823
151,151,151,43,0.0026927171394577
152,152,152,43,0.0026927171394577
153,153,153,43,0.0026927171394577
154,154,154,42,0.0026300958106331
155,155,155,42,0.0026300958106331
156,156,156,42,0.0026300958106331
157,157,157,41,0.0025674744818085
158,158,158,41,0.0025674744818085
159,159,159,41,0.0025674744818085
160,160,160,40,0.00250485315298391
161,161,161,40,0.00250485315298391
162,162,162,40,0.00250485315298391
163,163,163,40,0.00250485315298391
164,164,164,39,0.00244223182415931
165,165,165,39,0.00244223182415931
166,166,166,39,0.00244223182415931
167,167,167,39,0.00244223182415931
168,168,168,39,0.00244223182415931
169,169,169,39,0.00244223182415931
170,170,170,38,0.00237961049533471
171,171,171,38,0.00237961049533471
172,172,172,38,0.00237961049533471
173,173,173,38,0.00237961049533471
174,174,174,38,0.00237961049533471
175,175,175,37,0.00231698916651011
176,176,176,37,0.00231698916651011
177,177,177,36,0.00225436783768552
178,178,178,36,0.00225436783768552
179,179,179,36,0.00225436783768552
180,180,180,36,0.00225436783768552
181,181,181,35,0.00219174650886092
182,182,182,35,0.00219174650886092
183,183,183,35,0.00219174650886092
184,184,184,35,0.00219174650886092
185,185,185,35,0.00219174650886092
186,186,186,35,0.00219174650886092
187,187,187,34,0.00212912518003632
188,188,188,34,0.00212912518003632
189,189,189,33,0.00206650385121172
190,190,190,33,0.00206650385121172
191,191,191,32,0.00200388252238713
192,192,192,32,0.00200388252238713
193,193,193,32,0.00200388252238713
194,194,194,31,0.00194126119356253
195,195,195,30,0.00187863986473793
196,196,196,30,0.00187863986473793
197,197,197,29,0.00181601853591333
198,198,198,29,0.00181601853591333
199,199,199,29,0.00181601853591333
200,200,200,28,0.00175339720708873
201,201,201,28,0.00175339720708873
202,202,202,28,0.00175339720708873
203,203,203,27,0.00169077587826414
204,204,204,27,0.00169077587826414
205,205,205,27,0.00169077587826414
206,206,206,27,0.00169077587826414
207,207,207,27,0.00169077587826414
208,208,208,26,0.00162815454943954
209,209,209,26,0.00162815454943954
210,210,210,26,0.00162815454943954
211,211,211,25,0.00156553322061494
212,212,212,25,0.00156553322061494
213,213,213,24,0.00150291189179034
214,214,214,24,0.00150291189179034
215,215,215,23,0.00144029056296575
216,216,216,23,0.00144029056296575
217,217,217,23,0.00144029056296575
218,218,218,22,0.00137766923414115
219,219,219,22,0.00137766923414115
220,220,220,22,0.00137766923414115
221,221,221,22,0.00137766923414115
222,222,222,22,0.00137766923414115
223,223,223,22,0.00137766923414115
224,224,224,21,0.00131504790531655
225,225,225,21,0.00131504790531655
226,226,226,21,0.00131504790531655
227,227,227,21,0.00131504790531655
228,228,228,20,0.00125242657649195
229,229,229,20,0.00125242657649195
230,230,230,20,0.00125242657649195
231,231,231,20,0.00125242657649195
232,232,232,20,0.00125242657649195
233,233,233,19,0.00118980524766736
234,234,234,19,0.00118980524766736
235,235,235,19,0.00118980524766736
236,236,236,19,0.00118980524766736
237,237,237,19,0.00118980524766736
238,238,238,18,0.00112718391884276
239,239,239,18,0.00112718391884276
240,240,240,18,0.00112718391884276
241,241,241,18,0.00112718391884276
242,242,242,17,0.00106456259001816
243,243,243,17,0.00106456259001816
244,244,244,17,0.00106456259001816
245,245,245,17,0.00106456259001816
246,246,246,17,0.00106456259001816
247,247,247,17,0.00106456259001816
248,248,248,17,0.00106456259001816
249,249,249,17,0.00106456259001816
250,250,250,17,0.00106456259001816
251,251,251,17,0.00106456259001816
252,252,252,17,0.00106456259001816
253,253,253,17,0.00106456259001816
254,254,254,16,0.00100194126119356
255,255,255,16,0.00100194126119356
256,256,256,16,0.00100194126119356
257,257,257,16,0.00100194126119356
258,258,258,15,0.000939319932368965
259,259,259,15,0.000939319932368965
260,260,260,15,0.000939319932368965
261,261,261,15,0.000939319932368965
262,262,262,14,0.000876698603544367
263,263,263,14,0.000876698603544367
264,264,264,14,0.000876698603544367
265,265,265,14,0.000876698603544367
266,266,266,14,0.000876698603544367
267,267,267,14,0.000876698603544367
268,268,268,14,0.000876698603544367
269,269,269,13,0.00081407727471977
270,270,270,13,0.00081407727471977
271,271,271,13,0.00081407727471977
272,272,272,13,0.00081407727471977
273,273,273,13,0.00081407727471977
274,274,274,13,0.00081407727471977
275,275,275,13,0.00081407727471977
276,276,276,13,0.00081407727471977
277,277,277,13,0.00081407727471977
278,278,278,12,0.000751455945895172
279,279,279,12,0.000751455945895172
280,280,280,12,0.000751455945895172
281,281,281,11,0.000688834617070574
282,282,282,11,0.000688834617070574
283,283,283,11,0.000688834617070574
284,284,284,11,0.000688834617070574
285,285,285,11,0.000688834617070574
286,286,286,10,0.000626213288245977
287,287,287,10,0.000626213288245977
288,288,288,10,0.000626213288245977
289,289,289,10,0.000626213288245977
290,290,290,10,0.000626213288245977
291,291,291,10,0.000626213288245977
292,292,292,9,0.000563591959421379
293,293,293,8,0.000500970630596781
294,294,294,8,0.000500970630596781
295,295,295,8,0.000500970630596781
296,296,296,8,0.000500970630596781
297,297,297,8,0.000500970630596781
298,298,298,8,0.000500970630596781
299,299,299,8,0.000500970630596781
300,300,300,8,0.000500970630596781
301,301,301,7,0.000438349301772184
302,302,302,7,0.000438349301772184
303,303,303,7,0.000438349301772184
304,304,304,7,0.000438349301772184
305,305,305,7,0.000438349301772184
306,306,306,7,0.000438349301772184
307,307,307,6,0.000375727972947586
308,308,308,6,0.000375727972947586
309,309,309,6,0.000375727972947586
310,310,310,6,0.000375727972947586
311,311,311,6,0.000375727972947586
312,312,312,6,0.000375727972947586
313,313,313,6,0.000375727972947586
314,314,314,6,0.000375727972947586
315,315,315,5,0.000313106644122988
316,316,316,5,0.000313106644122988
317,317,317,5,0.000313106644122988
318,318,318,5,0.000313106644122988
319,319,319,5,0.000313106644122988
320,320,320,4,0.000250485315298391
321,321,321,4,0.000250485315298391
322,322,322,4,0.000250485315298391
323,323,323,4,0.000250485315298391
